Date,open,high,low,close,adjclose,volume,ingested_at_utc
2018-08-10,126000.0,127000.0,124500.0,126000.0,94958.8046875,194355,2026-03-03 06:42:14.237280+00:00
2018-08-13,125000.0,126000.0,123000.0,123500.0,93074.6875,319273,2026-03-03 06:42:14.237280+00:00
2018-08-14,124500.0,125000.0,122500.0,123000.0,92697.875,291859,2026-03-03 06:42:14.237280+00:00
2018-08-16,122000.0,127000.0,122000.0,126500.0,95335.6328125,561446,2026-03-03 06:42:14.237280+00:00
2018-08-17,125500.0,127000.0,125000.0,126500.0,95335.6328125,207735,2026-03-03 06:42:14.237280+00:00
2018-08-20,127500.0,128000.0,126000.0,127500.0,96089.25,310969,2026-03-03 06:42:14.237280+00:00
2018-08-21,127000.0,127500.0,124000.0,125500.0,94581.96875,339831,2026-03-03 06:42:14.237280+00:00
2018-08-22,125500.0,127000.0,124500.0,126000.0,94958.8046875,329800,2026-03-03 06:42:14.237280+00:00
2018-08-23,125500.0,126000.0,123000.0,124500.0,93828.3515625,229027,2026-03-03 06:42:14.237280+00:00
2018-08-24,123500.0,124500.0,123000.0,124500.0,93828.3515625,232363,2026-03-03 06:42:14.237280+00:00
2018-08-27,125000.0,125500.0,123500.0,124000.0,93451.515625,226756,2026-03-03 06:42:14.237280+00:00
2018-08-28,125000.0,127000.0,124000.0,125000.0,94205.1640625,402853,2026-03-03 06:42:14.237280+00:00
2018-08-29,125000.0,125000.0,123500.0,124000.0,93451.515625,309579,2026-03-03 06:42:14.237280+00:00
2018-08-30,124000.0,125000.0,123000.0,123500.0,93074.6875,385998,2026-03-03 06:42:14.237280+00:00
2018-08-31,124000.0,126000.0,123000.0,125000.0,94205.1640625,529278,2026-03-03 06:42:14.237280+00:00
2018-09-03,124500.0,126000.0,123500.0,125000.0,94205.1640625,264041,2026-03-03 06:42:14.237280+00:00
2018-09-04,125500.0,127000.0,124500.0,126500.0,95335.6328125,297393,2026-03-03 06:42:14.237280+00:00
2018-09-05,126500.0,131000.0,126500.0,129000.0,97219.7421875,871735,2026-03-03 06:42:14.237280+00:00
2018-09-06,130000.0,136000.0,130000.0,134000.0,100987.9375,935048,2026-03-03 06:42:14.237280+00:00
2018-09-07,136000.0,137000.0,131500.0,133000.0,100234.28125,793026,2026-03-03 06:42:14.237280+00:00
2018-09-10,131500.0,133500.0,130000.0,131000.0,98727.0,320236,2026-03-03 06:42:14.237280+00:00
2018-09-11,130000.0,130500.0,128000.0,128000.0,96466.078125,514468,2026-03-03 06:42:14.237280+00:00
2018-09-12,128500.0,131000.0,128000.0,129500.0,97596.5546875,340635,2026-03-03 06:42:14.237280+00:00
2018-09-13,130500.0,130500.0,128000.0,128500.0,96842.9140625,411245,2026-03-03 06:42:14.237280+00:00
2018-09-14,129500.0,131000.0,129000.0,129500.0,97596.5546875,259936,2026-03-03 06:42:14.237280+00:00
2018-09-17,129000.0,129500.0,128000.0,128500.0,96842.9140625,305158,2026-03-03 06:42:14.237280+00:00
2018-09-18,128500.0,130000.0,128000.0,128000.0,96466.078125,368661,2026-03-03 06:42:14.237280+00:00
2018-09-19,128500.0,129000.0,125500.0,126500.0,95335.6328125,420484,2026-03-03 06:42:14.237280+00:00
2018-09-20,126500.0,130000.0,126000.0,129000.0,97219.7421875,378436,2026-03-03 06:42:14.237280+00:00
2018-09-21,131000.0,131000.0,127500.0,129000.0,97219.7421875,765535,2026-03-03 06:42:14.237280+00:00
2018-09-27,130000.0,130500.0,128500.0,130500.0,98350.1796875,465760,2026-03-03 06:42:14.237280+00:00
2018-09-28,130000.0,130500.0,128000.0,129500.0,97596.5546875,295867,2026-03-03 06:42:14.237280+00:00
2018-10-01,130000.0,130000.0,128500.0,129000.0,97219.7421875,233662,2026-03-03 06:42:14.237280+00:00
2018-10-02,128500.0,129500.0,128000.0,128500.0,96842.9140625,215297,2026-03-03 06:42:14.237280+00:00
2018-10-04,128500.0,129000.0,122500.0,124500.0,93828.3515625,671140,2026-03-03 06:42:14.237280+00:00
2018-10-05,126000.0,126000.0,123000.0,124500.0,93828.3515625,284015,2026-03-03 06:42:14.237280+00:00
2018-10-08,123500.0,124000.0,121500.0,122000.0,91944.2421875,386710,2026-03-03 06:42:14.237280+00:00
2018-10-10,122500.0,123000.0,119500.0,120000.0,90436.9609375,536984,2026-03-03 06:42:14.237280+00:00
2018-10-11,118500.0,120500.0,116000.0,116000.0,87422.390625,701523,2026-03-03 06:42:14.237280+00:00
2018-10-12,115500.0,118000.0,114500.0,115500.0,87045.5703125,672541,2026-03-03 06:42:14.237280+00:00
2018-10-15,116500.0,117000.0,111500.0,113500.0,85538.2734375,697689,2026-03-03 06:42:14.237280+00:00
2018-10-16,114000.0,117500.0,113500.0,116500.0,87799.2109375,503295,2026-03-03 06:42:14.237280+00:00
2018-10-17,117500.0,119500.0,116500.0,118500.0,89306.484375,385112,2026-03-03 06:42:14.237280+00:00
2018-10-18,118000.0,118500.0,114000.0,116000.0,87422.390625,708181,2026-03-03 06:42:14.237280+00:00
2018-10-19,114500.0,117500.0,114000.0,115500.0,87045.5703125,493067,2026-03-03 06:42:14.237280+00:00
2018-10-22,115000.0,118000.0,114500.0,118000.0,88929.6796875,378176,2026-03-03 06:42:14.237280+00:00
2018-10-23,117000.0,118000.0,114000.0,116500.0,87799.2109375,575347,2026-03-03 06:42:14.237280+00:00
2018-10-24,117500.0,118500.0,116000.0,117000.0,88176.0234375,776694,2026-03-03 06:42:14.237280+00:00
2018-10-25,116000.0,116000.0,102500.0,110000.0,82900.53125,1633392,2026-03-03 06:42:14.237280+00:00
2018-10-26,110000.0,113000.0,107500.0,108000.0,81393.2578125,867074,2026-03-03 06:42:14.237280+00:00
2018-10-29,106000.0,108500.0,104000.0,106000.0,79885.984375,876545,2026-03-03 06:42:14.237280+00:00
2018-10-30,106500.0,109500.0,106000.0,107500.0,81016.4453125,429587,2026-03-03 06:42:14.237280+00:00
2018-10-31,106500.0,107000.0,103500.0,106500.0,80262.8046875,752213,2026-03-03 06:42:14.237280+00:00
2018-11-01,106500.0,109000.0,104500.0,108500.0,81770.078125,487868,2026-03-03 06:42:14.237280+00:00
2018-11-02,107000.0,110500.0,106500.0,110000.0,82900.53125,586857,2026-03-03 06:42:14.237280+00:00
2018-11-05,107000.0,107500.0,103500.0,104000.0,78378.6953125,921610,2026-03-03 06:42:14.237280+00:00
2018-11-06,105000.0,108500.0,104500.0,107500.0,81016.4453125,775343,2026-03-03 06:42:14.237280+00:00
2018-11-07,106500.0,108000.0,105500.0,107500.0,81016.4453125,619311,2026-03-03 06:42:14.237280+00:00
2018-11-08,109000.0,109000.0,105500.0,105500.0,79509.15625,588487,2026-03-03 06:42:14.237280+00:00
2018-11-09,106000.0,110000.0,104500.0,105000.0,79132.3203125,668003,2026-03-03 06:42:14.237280+00:00
2018-11-12,105000.0,105500.0,100500.0,102000.0,76871.4140625,792697,2026-03-03 06:42:14.237280+00:00
2018-11-13,99900.0,102500.0,99600.0,102500.0,77248.2265625,397209,2026-03-03 06:42:14.237280+00:00
2018-11-14,103500.0,104500.0,100500.0,101500.0,76494.578125,637102,2026-03-03 06:42:14.237280+00:00
2018-11-15,101000.0,103500.0,100500.0,103000.0,77625.0546875,449187,2026-03-03 06:42:14.237280+00:00
2018-11-16,104000.0,104500.0,102000.0,103000.0,77625.0546875,361507,2026-03-03 06:42:14.237280+00:00
2018-11-19,103000.0,103500.0,101000.0,101500.0,76494.578125,555495,2026-03-03 06:42:14.237280+00:00
2018-11-20,101000.0,101000.0,97100.0,97500.0,73480.03125,1295271,2026-03-03 06:42:14.237280+00:00
2018-11-21,96500.0,97900.0,95800.0,97800.0,73706.1015625,883111,2026-03-03 06:42:14.237280+00:00
2018-11-22,98000.0,98000.0,92500.0,92800.0,69937.90625,1527106,2026-03-03 06:42:14.237280+00:00
2018-11-23,92800.0,94000.0,92600.0,93700.0,70616.1953125,558490,2026-03-03 06:42:14.237280+00:00
2018-11-26,93600.0,95800.0,93500.0,95100.0,71671.28125,663188,2026-03-03 06:42:14.237280+00:00
